start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-12 22:45:00,3.1993,3.2138,3.1996,3.2091,195479.4,0,1,,,,,,,,,,0
2025-06-12 23:00:00,3.1944,3.2166,3.209,3.1951,192762.8,0,-1,,,,,,,,,,0
2025-06-12 23:15:00,3.1956,3.2223,3.1956,3.2223,59171.9,0,0,,,,,,,,,,0
2025-06-12 23:30:00,3.2132,3.2319,3.2214,3.2292,35111.1,0,1,,,,,,,,,,0
2025-06-12 23:45:00,3.209,3.2324,3.229,3.209,44685.5,0,0,,,,,,,,,,0
2025-06-13 00:00:00,3.0202,3.2118,3.2094,3.0421,3121119.1,-1,0,,,,,,,,,,-1
2025-06-13 00:15:00,3.0243,3.0661,3.0408,3.0339,1432251.8,0,0,,,,,,,,,,0
2025-06-13 00:30:00,2.958,3.0494,3.0345,3.0164,1905418.3,0,0,,,,,,,,,,0
2025-06-13 00:45:00,2.9766,3.0317,3.0164,2.9951,752148.6,0,0,,,,,,,,,,0
2025-06-13 01:00:00,2.921,2.995,2.995,2.9354,1279005.7,-1,-1,,,,,,,,,,-1
2025-06-13 01:15:00,2.9324,2.9795,2.9354,2.9579,586400.0,0,0,,,,,,,,,,0
2025-06-13 01:30:00,2.92,2.9697,2.958,2.9697,506685.2,0,0,,,,,,,,,,0
2025-06-13 01:45:00,2.9538,2.9874,2.968,2.9794,386749.4,0,1,,,,,,,,,,0
2025-06-13 02:00:00,2.9427,2.9886,2.9784,2.9427,573140.3,-1,-1,,,,,,,,,,-1
2025-06-13 02:15:00,2.9368,2.9693,2.9424,2.9598,465700.1,0,1,,,,,,,,,,0
2025-06-13 02:30:00,2.9357,2.976,2.9596,2.9364,503411.1,0,-1,,,,,,,,,,0
2025-06-13 02:45:00,2.9336,2.967,2.9361,2.964,368903.6,0,0,,,,,,,,,,0
2025-06-13 03:00:00,2.956,3.0075,2.9626,2.9948,593220.3,1,0,,,,,,,,,,1
2025-06-13 03:15:00,2.993,3.0382,2.9949,3.0251,551646.9,0,0,,,,,,,,,,0
2025-06-13 03:30:00,3.0223,3.046,3.0253,3.0324,194128.6,0,1,,,,,,,,,,0
2025-06-13 03:45:00,3.0188,3.0496,3.033,3.0316,154207.4,0,0,,,,,,,,,,0
2025-06-13 04:00:00,3.0078,3.0343,3.0319,3.0087,252959.3,0,-1,,,,,,,,,,0
2025-06-13 04:15:00,3.0018,3.0215,3.0093,3.0202,374100.2,0,0,,,,,,,,,,0
2025-06-13 04:30:00,3.0188,3.0403,3.0201,3.0399,155820.0,0,0,,,,,,,,,,0
2025-06-13 04:45:00,3.0286,3.0459,3.0392,3.0405,88316.6,0,1,,,,,,,,,,0
2025-06-13 05:00:00,3.0001,3.0425,3.0405,3.0066,379767.3,0,0,,,,,,,,,,0
2025-06-13 05:15:00,2.9885,3.0109,3.0066,2.9993,359030.0,0,0,,,,,,,,,,0
2025-06-13 05:30:00,2.9886,3.0018,2.9982,2.9968,223708.8,0,-1,,,,,,,,,,0
2025-06-13 05:45:00,2.9936,3.0136,2.9966,2.9975,123163.5,0,1,,,,,,,,,,0
2025-06-13 06:00:00,2.9946,3.0046,2.9979,2.996,139274.8,0,0,,,,,,,,,,0
2025-06-13 06:15:00,2.9551,2.9994,2.9951,2.9646,893777.6,-1,-1,,,,,,,,,,-1
2025-06-13 06:30:00,2.9648,2.9884,2.9648,2.985,195166.9,0,0,,,,,,,,,,0
2025-06-13 06:45:00,2.9736,3.019,2.9853,3.019,222647.5,0,1,,,,,,,,,,0
