start,low,high,open,close,volume,MA,STD,Z_Score,zscoremeanreversion_signal,signal
2025-06-13 13:00:00,2.988,3.0301,3.003,3.0068,1180455.1,3.07905,0.11091314525101797,-0.6514106135614868,0,0
2025-06-13 14:00:00,2.9729,3.0222,3.0069,3.0144,966592,3.06325,0.09451894546931465,-0.5168276027355687,0,0
2025-06-13 15:00:00,3.002,3.0584,3.0151,3.0375,1220151.3,3.052195,0.08265335650840167,-0.17779072285475045,0,0
2025-06-13 16:00:00,3.0231,3.0808,3.0375,3.0543,954001.3,3.044395,0.07383851851025412,0.1341440781835879,0,0
2025-06-13 17:00:00,3.0004,3.0539,3.0537,3.0406,932481.9,3.036015,0.06298213844541597,0.07279841734770076,0,0
2025-06-13 18:00:00,2.992,3.0529,3.0409,3.0174,1144168,3.0264300000000004,0.04807828156137001,-0.18781869290552952,0,0
2025-06-13 19:00:00,3.0039,3.0354,3.0159,3.0174,802372.8,3.01685,0.021561552038649828,0.025508367812027467,0,0
2025-06-13 20:00:00,3.0076,3.0563,3.0179,3.0465,570836.2,3.0194199999999998,0.021893368378278138,1.2369042320079024,0,0
2025-06-13 21:00:00,3.0351,3.0717,3.0468,3.0624,713669.1,3.0235700000000003,0.021774323362492035,1.7832930720082523,-1,-1
2025-06-13 22:00:00,3.0443,3.0824,3.0627,3.0548,358251.5,3.0281100000000003,0.017804195247769362,1.4990848858132915,0,0
2025-06-13 23:00:00,3.055,3.0832,3.055,3.0773,424460.1,3.030395,0.02093328940378945,2.2406894155635766,-1,-1
2025-06-14 00:00:00,3.0475,3.0783,3.0772,3.0532,777971.7,3.0310300000000003,0.02144238547215512,1.0339334692396671,0,0
2025-06-14 01:00:00,3.0256,3.0535,3.0532,3.0315,550254.6,3.03273,0.01993925248030464,-0.06168736772930777,0,0
2025-06-14 02:00:00,3.0204,3.0426,3.0321,3.032,240368,3.03338,0.019678296888214302,-0.07012802011472175,0,0
2025-06-14 03:00:00,3.0255,3.046,3.0321,3.0321,334857.7,3.033555,0.01964909198383289,-0.074049223302387,0,0
2025-06-14 04:00:00,3.0272,3.0552,3.0321,3.0507,185054.5,3.034795,0.01992122578662666,0.7983946455080722,0,0
2025-06-14 05:00:00,3.0405,3.0588,3.051,3.0532,121571.5,3.0366150000000003,0.019853311403487988,0.8353770140877276,0,0
2025-06-14 06:00:00,3.0289,3.0586,3.0537,3.0313,227409.3,3.03703,0.01963932949867564,-0.29176148810918584,0,0
2025-06-14 07:00:00,3.0082,3.0336,3.0315,3.0285,275896.3,3.0372399999999997,0.01951812652785998,-0.44778887909780357,0,0
2025-06-14 08:00:00,3.007,3.0291,3.0282,3.0255,386544.4,3.0383699999999996,0.018022269849438333,-0.7141164851884952,0,0
2025-06-14 09:00:00,3.0075,3.029,3.0261,3.0105,62825,3.0385549999999997,0.017697203912354287,-1.5852786767300981,1,1
2025-06-14 10:00:00,3.0077,3.027,3.0108,3.021,143365.2,3.0388849999999996,0.017279689172389544,-1.0350301918958913,0,0
2025-06-14 11:00:00,3.0191,3.0342,3.0213,3.0288,92607.9,3.03845,0.017425284110035293,-0.5537929791596732,0,0
2025-06-14 12:00:00,2.9969,3.0327,3.0283,3.0114,430979.5,3.0363049999999996,0.01800238215230279,-1.3834280257634552,0,0
2025-06-14 13:00:00,2.9799,3.0226,3.0117,2.9976,660197.8,3.0341549999999997,0.01992724860189576,-1.8344228413210175,1,1
2025-06-14 14:00:00,2.9784,3.0013,2.9979,2.984,409185.1,3.032485,0.02262256151441145,-2.143214417567748,1,1
